0at7088	HG993156.1	5283916	5392584
1at7088	HG993131.1	16245794	16341938
2at7088	HG993135.1	7698330	7795407
3at7088	HG993139.1	2033086	2142158
4at7088	HG993154.1	7682038	7822861
6at7088	HG993139.1	7683149	7778119
11at7088	HG993149.1	3952008	4018558
13at7088	HG993132.1	3414339	3449511
18at7088	HG993149.1	7415621	7450012
20at7088	HG993140.1	8102967	8126347
25at7088	HG993134.1	5879433	5891913
26at7088	HG993134.1	5036496	5088163
27at7088	HG993131.1	10948578	11006966
28at7088	HG993134.1	3913659	3950882
31at7088	HG993156.1	3034486	3076426
33at7088	HG993134.1	10662309	10696882
34at7088	HG993134.1	1325656	1380971
36at7088	HG993152.1	5075415	5091217
37at7088	HG993131.1	8874736	8899882
38at7088	HG993156.1	648568	671966
41at7088	HG993139.1	6775149	6812534
43at7088	HG993140.1	3550918	3598410
46at7088	HG993139.1	11533978	11578187
47at7088	HG993133.1	3365448	3414227
48at7088	HG993147.1	4902519	4946357
49at7088	HG993135.1	12950540	13016199
50at7088	HG993137.1	7159750	7197546
51at7088	HG993139.1	1323427	1462766
52at7088	HG993142.1	7346644	7388057
54at7088	HG993137.1	1598234	1613941
56at7088	HG993140.1	6672020	6731339
57at7088	HG993134.1	7406039	7427754
59at7088	HG993149.1	6480634	6512501
60at7088	HG993137.1	15081921	15115078
63at7088	HG993143.1	12636298	12675726
64at7088	HG993135.1	7291231	7312111
65at7088	HG993153.1	535133	818026
66at7088	HG993144.1	3594262	3622722
68at7088	HG993131.1	1688552	1827973
69at7088	HG993148.1	9087585	9098521
70at7088	HG993137.1	3538266	3549530
72at7088	HG993133.1	7328314	7394379
74at7088	HG993145.1	5334450	5408346
78at7088	HG993150.1	11855461	11906444
83at7088	HG993156.1	1890859	1931580
84at7088	HG993150.1	7221446	7263119
86at7088	HG993141.1	8880491	8905915
88at7088	HG993134.1	8562955	8583603
96at7088	HG993131.1	4094883	4120813
101at7088	HG993131.1	4332747	4428148
103at7088	HG993147.1	4461294	4562272
105at7088	HG993156.1	3080060	3104490
106at7088	HG993141.1	10395970	10410026
112at7088	HG993133.1	6900919	6925174
113at7088	HG993131.1	4433178	4530656
116at7088	HG993134.1	11080561	11098786
122at7088	HG993151.1	6700955	6753011
123at7088	HG993150.1	3306569	3352749
126at7088	HG993151.1	3793308	3828825
127at7088	HG993147.1	8706818	8758193
128at7088	HG993135.1	542065	584403
133at7088	HG993141.1	11076650	11109784
136at7088	HG993134.1	4338773	4373216
137at7088	HG993143.1	6819934	6842918
139at7088	HG993146.1	684862	720040
140at7088	HG993145.1	9354931	9529112
145at7088	HG993147.1	4980857	5004035
148at7088	HG993148.1	4646419	4671560
155at7088	HG993142.1	12162517	12176961
158at7088	HG993149.1	8479568	8570719
159at7088	HG993150.1	5230565	5248254
160at7088	HG993138.1	7611290	7706215
163at7088	HG993137.1	9946913	9964870
173at7088	HG993151.1	4221391	4248913
177at7088	HG993141.1	9749397	9776202
179at7088	HG993139.1	10663160	10707276
183at7088	HG993139.1	8467695	8501996
184at7088	HG993142.1	494261	523107
186at7088	HG993135.1	7437846	7451896
190at7088	HG993156.1	7451085	7490380
193at7088	HG993145.1	730250	737524
196at7088	HG993139.1	4204757	4229483
200at7088	HG993152.1	848368	903181
201at7088	HG993140.1	11361341	11385379
204at7088	HG993132.1	5727697	5734687
206at7088	HG993133.1	9789384	9972257
207at7088	HG993141.1	3545825	3568551
208at7088	HG993132.1	7071189	7086807
210at7088	HG993132.1	7614609	7623007
211at7088	HG993135.1	9327116	9341083
212at7088	HG993131.1	8921548	8937259
215at7088	HG993148.1	8937425	8952321
220at7088	HG993144.1	5311517	5329549
231at7088	HG993152.1	5615558	5634493
232at7088	HG993135.1	7860863	7876533
235at7088	HG993134.1	12522170	12529603
236at7088	HG993132.1	11757969	11779295
242at7088	HG993138.1	4260218	4294291
246at7088	HG993149.1	2902613	3144524
248at7088	HG993147.1	5142947	5183382
250at7088	HG993152.1	6838251	6888813
251at7088	HG993133.1	6685132	6696953
254at7088	HG993135.1	3358114	3376956
258at7088	HG993161.1	5263172	5311735
259at7088	HG993156.1	5477281	5510617
263at7088	HG993155.1	5958301	5981992
266at7088	HG993131.1	9656290	9705858
270at7088	HG993131.1	10040770	10054396
271at7088	HG993145.1	9081152	9104922
273at7088	HG993142.1	11857325	11878824
274at7088	HG993144.1	10932091	10937530
278at7088	HG993134.1	6603833	6609439
281at7088	HG993135.1	4630677	4639037
288at7088	HG993157.1	5535708	5561924
296at7088	HG993131.1	6867321	6876373
302at7088	HG993156.1	7238322	7278919
303at7088	HG993134.1	7625855	7661072
307at7088	HG993142.1	4793568	4822937
311at7088	HG993146.1	5111340	5124163
315at7088	HG993143.1	12082177	12096306
316at7088	HG993137.1	9849921	9861595
318at7088	HG993139.1	4509679	4528357
321at7088	HG993131.1	3534261	3541899
322at7088	HG993142.1	11778231	11788863
324at7088	HG993132.1	8755234	8765652
325at7088	HG993145.1	12807542	12821491
326at7088	HG993134.1	13360552	13370877
327at7088	HG993141.1	3161236	3198058
328at7088	HG993148.1	827413	833852
332at7088	HG993132.1	6818395	6833258
335at7088	HG993161.1	6772467	6783693
338at7088	HG993141.1	7833693	7858012
340at7088	HG993146.1	822532	839313
342at7088	HG993138.1	2584471	2599337
345at7088	HG993131.1	19678557	19730108
350at7088	HG993135.1	7911077	7916072
353at7088	HG993156.1	2862591	2914309
354at7088	HG993143.1	5309240	5312992
355at7088	HG993143.1	11359101	11384443
356at7088	HG993142.1	7937770	7953112
357at7088	HG993155.1	195846	219349
360at7088	HG993131.1	10397972	10429078
363at7088	HG993152.1	9779858	9785476
366at7088	HG993145.1	7205534	7215278
367at7088	HG993140.1	6332382	6373755
375at7088	HG993143.1	4460627	4479544
380at7088	HG993144.1	2897809	2924072
382at7088	HG993148.1	1388758	1405468
383at7088	HG993135.1	7918510	7927068
384at7088	HG993132.1	9671493	9677395
385at7088	HG993150.1	5280037	5301910
386at7088	HG993145.1	5130933	5141154
389at7088	HG993131.1	11750713	11766927
391at7088	HG993131.1	4784210	4809338
392at7088	HG993133.1	6750708	6782000
393at7088	HG993147.1	8086192	8127603
394at7088	HG993142.1	7264260	7296198
396at7088	HG993139.1	8590560	8598027
401at7088	HG993139.1	4616361	4645809
408at7088	HG993134.1	10542637	10549717
412at7088	HG993135.1	13382119	13440556
417at7088	HG993150.1	5346333	5359787
420at7088	HG993152.1	3274842	3358830
427at7088	HG993161.1	5757609	5808158
429at7088	HG993143.1	12551276	12561939
430at7088	HG993142.1	10095802	10103542
434at7088	HG993133.1	4844647	4851851
437at7088	HG993154.1	6359920	6389149
443at7088	HG993139.1	6679406	6688555
445at7088	HG993140.1	7319117	7333768
450at7088	HG993133.1	3077724	3084513
455at7088	HG993134.1	4333832	4337359
456at7088	HG993143.1	5017599	5021624
458at7088	HG993151.1	8666054	8735499
461at7088	HG993135.1	11125604	11160370
464at7088	HG993140.1	4648735	4656204
467at7088	HG993144.1	11970413	12000317
468at7088	HG993145.1	4121007	4129231
478at7088	HG993133.1	14110989	14151397
479at7088	HG993152.1	6402540	6412792
481at7088	HG993138.1	8058941	8077585
486at7088	HG993145.1	10713120	10728254
488at7088	HG993153.1	6687584	6786530
489at7088	HG993151.1	2813189	2827821
490at7088	HG993135.1	10381045	10431829
492at7088	HG993148.1	6443162	6551712
494at7088	HG993140.1	9966693	9994217
495at7088	HG993134.1	11624426	11632298
496at7088	HG993157.1	7789415	8023898
498at7088	HG993137.1	3763761	3771851
499at7088	HG993135.1	8503221	8516906
504at7088	HG993138.1	8091040	8100224
505at7088	HG993141.1	6455758	6464090
506at7088	HG993131.1	9409978	9449786
509at7088	HG993143.1	5636134	5639961
511at7088	HG993141.1	11453962	11489346
513at7088	HG993149.1	5378315	5394736
515at7088	HG993137.1	6419338	6438773
516at7088	HG993137.1	9865948	9882202
517at7088	HG993132.1	5635872	5648563
518at7088	HG993140.1	4564040	4567414
519at7088	HG993154.1	4973594	5022107
522at7088	HG993149.1	3525507	3557130
526at7088	HG993147.1	4957251	4961249
527at7088	HG993146.1	12974144	12987511
530at7088	HG993148.1	7937276	7949139
531at7088	HG993134.1	11585996	11596447
532at7088	HG993158.1	3906746	3913263
538at7088	HG993152.1	7188452	7199182
543at7088	HG993156.1	2831801	2860346
544at7088	HG993144.1	7435273	7469005
547at7088	HG993156.1	5794066	5848870
550at7088	HG993150.1	12164408	12176708
552at7088	HG993140.1	3952278	3968149
553at7088	HG993153.1	10373755	10408682
556at7088	HG993135.1	9024339	9050119
558at7088	HG993137.1	12433188	12452195
559at7088	HG993131.1	16761064	16774064
562at7088	HG993138.1	6785482	6814739
563at7088	HG993139.1	5576915	5580427
566at7088	HG993133.1	8556737	8574065
569at7088	HG993133.1	13765494	13805075
571at7088	HG993154.1	4386260	4400603
572at7088	HG993133.1	6791396	6817890
578at7088	HG993131.1	9584637	9605072
583at7088	HG993140.1	6826868	6853051
584at7088	HG993148.1	3966969	3979031
589at7088	HG993135.1	7930602	7938162
590at7088	HG993137.1	6850998	6868800
598at7088	HG993133.1	14323704	14363668
599at7088	HG993154.1	4676229	4700604
600at7088	HG993132.1	7154919	7165994
601at7088	HG993144.1	2938111	2964383
603at7088	HG993153.1	3627202	3733935
608at7088	HG993140.1	4170937	4181731
609at7088	HG993154.1	7386140	7412878
611at7088	HG993154.1	5479897	5495313
613at7088	HG993134.1	1382669	1394033
614at7088	HG993139.1	10606284	10609853
616at7088	HG993135.1	5898557	5901811
620at7088	HG993148.1	4015997	4033452
621at7088	HG993155.1	6521019	6539464
622at7088	HG993156.1	7027361	7033292
627at7088	HG993134.1	8788086	8793939
628at7088	HG993133.1	15056376	15080074
632at7088	HG993134.1	11017688	11024202
633at7088	HG993151.1	6431972	6484183
637at7088	HG993142.1	2379575	2410851
638at7088	HG993141.1	3359998	3377822
639at7088	HG993131.1	11026821	11040218
642at7088	HG993149.1	7054792	7078363
643at7088	HG993134.1	11071792	11076380
647at7088	HG993135.1	4058723	4073629
649at7088	HG993131.1	18332366	18446482
652at7088	HG993148.1	1858780	1897358
655at7088	HG993143.1	6787690	6794916
657at7088	HG993135.1	10225679	10239879
658at7088	HG993134.1	4987555	5012358
659at7088	HG993150.1	7127511	7131035
660at7088	HG993134.1	11031941	11037044
662at7088	HG993140.1	6597476	6646426
664at7088	HG993146.1	4571432	4678816
666at7088	HG993144.1	4061435	4078157
667at7088	HG993141.1	3249866	3270204
670at7088	HG993161.1	650931	704029
672at7088	HG993132.1	9578281	9599447
675at7088	HG993149.1	8577951	8591359
678at7088	HG993135.1	7211566	7227816
680at7088	HG993144.1	7778477	7792214
681at7088	HG993146.1	12482882	12504747
690at7088	HG993138.1	2010978	2045773
692at7088	HG993132.1	4646586	4717494
695at7088	HG993139.1	8152552	8157008
696at7088	HG993134.1	4051798	4069078
701at7088	HG993137.1	11402848	11454355
705at7088	HG993150.1	658521	693047
708at7088	HG993131.1	5710522	5739513
711at7088	HG993134.1	9371439	9401666
713at7088	HG993161.1	6460313	6478672
714at7088	HG993137.1	3513644	3531476
716at7088	HG993155.1	8065495	8079597
717at7088	HG993135.1	3743400	3820166
718at7088	HG993132.1	5015780	5066896
721at7088	HG993157.1	2266973	2305055
723at7088	HG993139.1	12070460	12178934
724at7088	HG993140.1	2973368	2995637
730at7088	HG993132.1	9599785	9621975
731at7088	HG993145.1	7227453	7231340
741at7088	HG993149.1	12017817	12021128
742at7088	HG993132.1	4803675	4833255
752at7088	HG993131.1	7468574	7489547
756at7088	HG993135.1	1734543	1740034
757at7088	HG993150.1	10637229	10671484
758at7088	HG993145.1	9556052	9562041
761at7088	HG993148.1	10178709	10220271
764at7088	HG993144.1	5367057	5377053
765at7088	HG993138.1	133299	157678
769at7088	HG993141.1	5408503	5414284
772at7088	HG993145.1	7639947	7645738
774at7088	HG993153.1	2200298	2217794
775at7088	HG993133.1	11483197	11503447
780at7088	HG993132.1	927915	948852
781at7088	HG993131.1	16811905	16880753
787at7088	HG993139.1	12262184	12266868
790at7088	HG993131.1	7857579	7860596
791at7088	HG993147.1	5851450	5857677
793at7088	HG993133.1	5106684	5114463
794at7088	HG993140.1	11265602	11285952
795at7088	HG993133.1	14693299	14703597
796at7088	HG993146.1	6023315	6065695
799at7088	HG993134.1	11844001	11867748
800at7088	HG993134.1	6653536	6672206
802at7088	HG993141.1	10733296	10743662
805at7088	HG993161.1	2167449	2184683
806at7088	HG993153.1	3892031	3899192
817at7088	HG993140.1	5692156	5708523
818at7088	HG993140.1	10081803	10124471
821at7088	HG993141.1	11941666	11978555
822at7088	HG993131.1	9157967	9166408
826at7088	HG993135.1	11650033	11668135
828at7088	HG993144.1	2926140	2937027
829at7088	HG993143.1	11558740	11566136
835at7088	HG993133.1	9021319	9046524
839at7088	HG993156.1	5631262	5658917
840at7088	HG993131.1	8826102	8832795
841at7088	HG993145.1	8650184	8671236
844at7088	HG993141.1	10888536	11025236
845at7088	HG993138.1	8528203	8554294
849at7088	HG993149.1	4267487	4291379
851at7088	HG993152.1	3677234	3700190
853at7088	HG993133.1	11357503	11366956
860at7088	HG993132.1	4699976	4717494
861at7088	HG993153.1	2225419	2241197
865at7088	HG993158.1	3065156	3096634
866at7088	HG993154.1	3193619	3211909
867at7088	HG993152.1	4023387	4148180
871at7088	HG993151.1	2411594	2426623
875at7088	HG993144.1	11501757	11516979
877at7088	HG993157.1	5488778	5495260
879at7088	HG993147.1	3340540	3349728
883at7088	HG993144.1	4706758	4714390
885at7088	HG993134.1	8009593	8027392
886at7088	HG993150.1	11817959	11832398
890at7088	HG993138.1	8082422	8090302
893at7088	HG993135.1	6248885	6277077
895at7088	HG993148.1	1352358	1355549
897at7088	HG993135.1	9940992	9954259
899at7088	HG993139.1	8999001	9011508
901at7088	HG993137.1	7510489	7546020
903at7088	HG993133.1	10711648	10727544
909at7088	HG993140.1	8503462	8607056
911at7088	HG993151.1	10755153	10874576
912at7088	HG993157.1	6937660	6958028
913at7088	HG993138.1	915371	920182
917at7088	HG993149.1	2184349	2196026
924at7088	HG993135.1	2896036	2922135
927at7088	HG993141.1	9445542	9449390
929at7088	HG993133.1	6824277	6839572
933at7088	HG993152.1	6531673	6553676
934at7088	HG993137.1	6813060	6826411
938at7088	HG993144.1	8045306	8054805
944at7088	HG993149.1	3679172	3692518
946at7088	HG993147.1	5810720	5815263
